disease,id,c,d,e,f,g,h,i
"Neoplasms, Gonadal Tissue",MESH:D018309,,"Neoplasms composed of tissues of the OVARY or the TESTIS, not neoplasms located in the ovaries or testes. Gonadal tissues include GERM CELLS, cells from the sex cord, and gonadal stromal cells.",MESH:D009370,C04.557.475,C04.557,"Gonadal Tissue Neoplasm|Gonadal Tissue Neoplasms|Neoplasm, Gonadal Tissue|Tissue Neoplasm, Gonadal|Tissue Neoplasms, Gonadal",Cancer
"Neoplasms, Hormone-Dependent",MESH:D009376,,"Certain tumors that 1, arise in organs that are normally dependent on specific hormones and 2, are stimulated or caused to regress by manipulation of the endocrine environment.",MESH:D009369,C04.626,C04,"Hormone-Dependent Neoplasm|Hormone Dependent Neoplasms|Hormone-Dependent Neoplasms|Neoplasm, Hormone-Dependent|Neoplasms, Hormone Dependent",Cancer
"Neoplasms, Mesothelial",MESH:D018301,,"Neoplasms composed of tissue of the mesothelium, the layer of flat cells, derived from the mesoderm, which lines the body cavity of the embryo. In the adult it forms the simple squamous epithelium which covers all true serous membranes (peritoneum, pericardium, pleura). The concept does not refer to neoplasms located in these organs. (From Dorland, 27th ed)",MESH:D009375,C04.557.470.660,C04.557.470,"Mesothelial Neoplasm|Mesothelial Neoplasms|Neoplasm, Mesothelial",Cancer
"Neoplasms, Multiple Primary",MESH:D009378,,"Two or more abnormal growths of tissue occurring simultaneously and presumed to be of separate origin. The neoplasms may be histologically the same or different, and may be found in the same or different sites.",MESH:D009369,C04.651,C04,"Multiple Primary Neoplasm|Multiple Primary Neoplasms|Multiple Primary Neoplasms, Synchronous|Neoplasm, Multiple Primary|Neoplasms, Synchronous|Neoplasms, Synchronous Multiple Primary|Neoplasm, Synchronous|Primary Neoplasm, Multiple|Primary Neoplasms, Multiple|Synchronous Multiple Primary Neoplasms|Synchronous Neoplasm|Synchronous Neoplasms",Cancer
"Neoplasms, Muscle Tissue",MESH:D009379,DO:DOID:461|DO:DOID:5039,"Neoplasms composed of muscle tissue: skeletal, cardiac, or smooth. The concept does not refer to neoplasms located in muscles.",MESH:D018204,C04.557.450.590,C04.557.450,"Muscle Tissue Neoplasm|Muscle Tissue Neoplasms|Myoblastoma|Myoblastomas|Myofibroblastoma|Myofibroblastomas|Neoplasm, Muscle Tissue",Cancer
"Neoplasms, Nerve Tissue",MESH:D009380,DO:DOID:3093,Neoplasms composed of nerve tissue. This concept does not refer to neoplasms located in the nervous system or its component nerves.,MESH:D009370,C04.557.580,C04.557,"Neoplasm, Nerve Tissue|Neoplasm, Nervous Tissue|Neoplasms, Nervous Tissue|Nerve Tissue Neoplasm|Nerve Tissue Neoplasms|Nervous Tissue Neoplasm|Nervous Tissue Neoplasms",Cancer
"Neoplasms, Neuroepithelial",MESH:D018302,DO:DOID:6128|DO:DOID:7305,"Neoplasms composed of neuroepithelial cells, which have the capacity to differentiate into NEURONS, oligodendrocytes, and ASTROCYTES. The majority of craniospinal tumors are of neuroepithelial origin. (From Dev Biol 1998 Aug 1;200(1):1-5)",MESH:D009375|MESH:D017599,C04.557.465.625.600|C04.557.470.670|C04.557.580.625.600,C04.557.465.625|C04.557.470|C04.557.580.625,"Astroblastoma|Astroblastomas|Ependymoastrocytoma|Ependymoastrocytomas|Gliomatosis Cerebri|Neoplasm, Neuroepithelial|Neuroepithelial Neoplasm|Neuroepithelial Neoplasms|Neuroepithelial Tumor|Neuroepithelial Tumors|Polar Spongioblastoma|Polar Spongioblastomas|Spongioblastoma, Polar|Spongioblastomas, Polar|Tumor, Neuroepithelial|Tumors, Neuroepithelial",Cancer
"Neoplasms, Plasma Cell",MESH:D054219,,Neoplasms associated with a proliferation of a single clone of PLASMA CELLS and characterized by the secretion of PARAPROTEINS.,MESH:D009370,C04.557.595,C04.557,"Neoplasm, Plasma Cell|Plasma Cell Neoplasm|Plasma Cell Neoplasms",Cancer
"Neoplasms, Post-Traumatic",MESH:D017169,,"Tumors, cancer or other neoplasms caused by or resulting from trauma or other non-radiation injuries.",MESH:D009369,C04.666,C04,"Cancer, Post-Traumatic|Cancers, Post-Traumatic|Malignancies, Post Traumatic|Malignancies, Post-Traumatic|Malignancy, Post-Traumatic|Neoplasm, Post-Traumatic|Neoplasms, Post Traumatic|Post Traumatic Cancer|Post-Traumatic Cancer|Post-Traumatic Cancers|Post-Traumatic Malignancies|Post-Traumatic Malignancy|Post-Traumatic Neoplasm|Post Traumatic Neoplasms|Post-Traumatic Neoplasms",Cancer
"Neoplasms, Radiation-Induced",MESH:D009381,,"Tumors, cancer or other neoplasms produced by exposure to ionizing or non-ionizing radiation.",MESH:D009369|MESH:D011832,C04.682|C26.733.476,C04|C26.733,"Cancer, Radiation Induced|Cancer, Radiation-Induced|Cancers, Radiation-Induced|Neoplasm, Radiation-Induced|Neoplasms, Radiation Induced|Radiation Induced Cancer|Radiation-Induced Cancer|Radiation-Induced Cancers|Radiation-Induced Neoplasm|Radiation Induced Neoplasms|Radiation-Induced Neoplasms",Cancer|Wounds and injuries
"Neoplasms, Second Primary",MESH:D016609,,Abnormal growths of tissue that follow a previous neoplasm but are not metastases of the latter. The second neoplasm may have the same or different histological type and can occur in the same or different organs as the previous neoplasm but in all cases arises from an independent oncogenic event. The development of the second neoplasm may or may not be related to the treatment for the previous neoplasm since genetic risk or predisposing factors may actually be the cause.,MESH:D009369,C04.692,C04,"Cancer, Second|Cancer, Second Primary|Cancers, Second|Cancers, Second Primary|Cancers, Therapy-Associated|Cancers, Therapy-Related|Cancers, Treatment-Associated|Cancers, Treatment-Related|Cancer, Therapy-Associated|Cancer, Therapy-Related|Cancer, Treatment-Associated|Cancer, Treatment-Related|Malignancies, Second|Malignancy, Second|Metachronous Neoplasm|Metachronous Neoplasms|Metachronous Second Primary Neoplasms|Neoplasm, Metachronous|Neoplasm, Second|Neoplasm, Second Primary|Neoplasms, Metachronous|Neoplasms, Metachronous Second Primary|Neoplasms, Second|Neoplasms, Therapy Associated|Neoplasms, Therapy-Associated|Neoplasms, Therapy Related|Neoplasms, Therapy-Related|Neoplasms, Treatment Associated|Neoplasms, Treatment-Associated|Neoplasms, Treatment Related|Neoplasms, Treatment-Related|Neoplasm, Therapy-Associated|Neoplasm, Therapy-Related|Neoplasm, Treatment-Associated|Neoplasm, Treatment-Related|Second Cancer|Second Cancers|Second Malignancies|Second Malignancy|Second Neoplasm|Second Neoplasms|Second Primary Cancer|Second Primary Cancers|Second Primary Neoplasm|Second Primary Neoplasms|Second Primary Neoplasms, Metachronous|Therapy Associated Cancer|Therapy-Associated Cancer|Therapy-Associated Cancers|Therapy-Associated Neoplasm|Therapy Associated Neoplasms|Therapy-Associated Neoplasms|Therapy Related Cancer|Therapy-Related Cancer|Therapy-Related Cancers|Therapy-Related Neoplasm|Therapy Related Neoplasms|Therapy-Related Neoplasms|Treatment Associated Cancer|Treatment-Associated Cancer|Treatment-Associated Cancers|Treatment-Associated Neoplasm|Treatment Associated Neoplasms|Treatment-Associated Neoplasms|Treatment Related Cancer|Treatment-Related Cancer|Treatment-Related Cancers|Treatment-Related Neoplasm|Treatment Related Neoplasms|Treatment-Related Neoplasms",Cancer
"Neoplasms, Squamous Cell",MESH:D018307,DO:DOID:1749|DO:DOID:3168,Neoplasms of the SQUAMOUS EPITHELIAL CELLS. The concept does not refer to neoplasms located in tissue composed of squamous elements.,MESH:D009375,C04.557.470.700,C04.557.470,"Cancer, Squamous Cell|Cancers, Squamous Cell|Cell Cancer, Squamous|Cell Cancers, Squamous|Cell Neoplasm, Squamous|Cell Neoplasms, Squamous|Neoplasm, Squamous Cell|Squamous Cell Cancer|Squamous Cell Cancers|Squamous Cell Neoplasm|Squamous Cell Neoplasms",Cancer
"Neoplasms, Unknown Primary",MESH:D009382,,Metastases in which the tissue of origin is unknown.,MESH:D009362,C04.697.650.895|C23.550.727.650.895,C04.697.650|C23.550.727.650,"Neoplasm Metastasis, Unknown Primary|Neoplasm, Occult Primary|Neoplasms, Occult Primary|Neoplasm, Unknown Primary|Occult Primary Neoplasm|Occult Primary Neoplasms|Primary Neoplasm, Occult|Primary Neoplasms, Occult|Primary Neoplasms, Unknown|Primary Neoplasm, Unknown|Primary Tumors, Unknown|Primary Tumor, Unknown|Tumors, Unknown Primary|Tumor, Unknown Primary|Unknown Primary Neoplasm|Unknown Primary Neoplasm Metastasis|Unknown Primary Neoplasms|Unknown Primary Tumor|Unknown Primary Tumors",Cancer|Pathology (process)
"Neoplasms, Vascular Tissue",MESH:D009383,,Neoplasms composed of vascular tissue. This concept does not refer to neoplasms located in blood vessels.,MESH:D009370,C04.557.645,C04.557,"Blood Vessel Tumor|Blood Vessel Tumors|Neoplasm, Vascular Tissue|Tumor, Blood Vessel|Tumors, Blood Vessel|Vascular Tissue Neoplasm|Vascular Tissue Neoplasms",Cancer
"Neoplastic Cells, Circulating",MESH:D009360,,Exfoliate neoplastic cells circulating in the blood and associated with metastasizing tumors.,MESH:D009362,C04.697.650.900|C23.550.727.650.900,C04.697.650|C23.550.727.650,"Cell, Circulating Neoplastic|Cell, Circulating Tumor|Cell, Embolic Tumor|Cell, Neoplasm Circulating|Cells, Circulating Neoplastic|Cells, Circulating Tumor|Cells, Embolic Tumor|Cells, Neoplasm Circulating|Circulating Cells, Neoplasm|Circulating Neoplastic Cell|Circulating Neoplastic Cells|Circulating Tumor Cell|Circulating Tumor Cells|Embolic Tumor Cell|Embolic Tumor Cells|Embolisms, Tumor|Embolism, Tumor|Neoplasm Circulating Cell|Neoplasm Circulating Cells|Neoplastic Cell, Circulating|Tumor Cell, Circulating|Tumor Cell, Embolic|Tumor Cells, Circulating|Tumor Cells, Embolic|Tumor Embolism|Tumor Embolisms",Cancer|Pathology (process)
Neoplastic Processes,MESH:D009385,,The pathological mechanisms and forms taken by tissue during degeneration into a neoplasm and its subsequent activity.,MESH:D009369|MESH:D010335,C04.697|C23.550.727,C04|C23.550,"Processes, Neoplastic",Cancer|Pathology (process)
"Neoplastic Syndromes, Hereditary",MESH:D009386,,"The condition of a pattern of malignancies within a family, but not every individual's necessarily having the same neoplasm. Characteristically the tumor tends to occur at an earlier than average age, individuals may have more than one primary tumor, the tumors may be multicentric, usually more than 25 percent of the individuals in direct lineal descent from the proband are affected, and the cancer predisposition in these families behaves as an autosomal dominant trait with about 60 percent penetrance.",MESH:D009369|MESH:D030342,C04.700|C16.320.700,C04|C16.320,"Cancer Syndrome, Hereditary|Cancer Syndromes, Hereditary|Hereditary Cancer Syndrome|Hereditary Cancer Syndromes|Hereditary Neoplastic Syndrome|Hereditary Neoplastic Syndromes|Neoplastic Syndrome, Hereditary|Syndrome, Hereditary Cancer|Syndrome, Hereditary Neoplastic|Syndromes, Hereditary Cancer|Syndromes, Hereditary Neoplastic",Cancer|Genetic disease (inborn)
"Neovascularization, Pathologic",MESH:D009389,,A pathologic process consisting of the proliferation of blood vessels in abnormal tissues or in abnormal positions.,MESH:D008679,C23.550.589.500,C23.550.589,"Angiogenesis, Pathologic|Angiogenesis, Pathological|Neovascularization, Pathological|Pathological Angiogenesis|Pathological Neovascularization|Pathologic Angiogenesis|Pathologic Neovascularization",Pathology (process)
Nephritis,MESH:D009393,DO:DOID:10952,Inflammation of any part of the KIDNEY.,MESH:D007674,C12.050.351.968.419.570|C12.200.777.419.570|C12.950.419.570,C12.050.351.968.419|C12.200.777.419|C12.950.419,Nephritides,Urogenital disease (female)|Urogenital disease (male)
"Nephritis, Hereditary",MESH:D009394,DO:DOID:10983,A group of inherited conditions characterized initially by HEMATURIA and slowly progressing to RENAL INSUFFICIENCY. The most common form is the Alport syndrome (hereditary nephritis with HEARING LOSS) which is caused by mutations in genes for TYPE IV COLLAGEN and defective GLOMERULAR BASEMENT MEMBRANE.,MESH:D003095|MESH:D009393|MESH:D014564,C12.050.351.875.742|C12.050.351.968.419.570.620|C12.200.706.742|C12.200.777.419.570.620|C12.800.742|C12.950.419.570.620|C16.131.939.742|C17.300.200.517,C12.050.351.875|C12.050.351.968.419.570|C12.200.706|C12.200.777.419.570|C12.800|C12.950.419.570|C16.131.939|C17.300.200,"Alport's Syndrome|Alport Syndrome|Alport Syndrome, Autosomal Dominant|Alport Syndrome, Autosomal Recessive|Alport Syndrome, X Linked|Alport Syndrome, X-Linked|Congenital Hereditary Hematuria|Familial Nephritis|Hematuria, Congenital Hereditary|Hematuria Nephropathy Deafness Syndrome|Hematuria-Nephropathy-Deafness Syndrome|Hematuric Hereditary Nephritis|Hemorrhagic Familial Nephritis|Hemorrhagic Hereditary Nephritis|Hereditary Familial Congenital Hemorrhagic Nephritis|Hereditary Hematuria Syndrome|Hereditary Interstitial Pyelonephritis|Hereditary Nephritis|Nephritis, Familial|Nephritis, Hematuric Hereditary|Nephritis, Hemorrhagic Familial|Nephritis, Hemorrhagic Hereditary|Pyelonephritis, Hereditary Interstitial|Syndrome, Alport|Syndrome, Hematuria-Nephropathy-Deafness|X-Linked Alport Syndrome",Congenital abnormality|Connective tissue disease|Urogenital disease (female)|Urogenital disease (male)
"Nephritis, Interstitial",MESH:D009395,DO:DOID:1063,"Inflammation of the interstitial tissue of the kidney. This term is generally used for primary inflammation of KIDNEY TUBULES and/or surrounding interstitium. For primary inflammation of glomerular interstitium, see GLOMERULONEPHRITIS. Infiltration of the inflammatory cells into the interstitial compartment results in EDEMA, increased spaces between the tubules, and tubular renal dysfunction.",MESH:D009393,C12.050.351.968.419.570.643|C12.200.777.419.570.643|C12.950.419.570.643,C12.050.351.968.419.570|C12.200.777.419.570|C12.950.419.570,"Interstitial Nephritides|Interstitial Nephritis|Nephritides, Interstitial|Nephritides, Tubulointerstitial|Nephritis, Tubulointerstitial|Tubulointerstitial Nephritides|Tubulointerstitial Nephritis",Urogenital disease (female)|Urogenital disease (male)
"Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor",MESH:C536399,DO:DOID:0060476|OMIM:267000,,MESH:D005320|MESH:D009396,C04.557.435.595/C536399|C04.588.945.947.535.585/C536399|C04.700.900/C536399|C12.050.351.937.820.535.585/C536399|C12.050.351.968.419.473.585/C536399|C12.050.703.170.500/C536399|C12.050.703.277.570/C536399|C12.050.703.726.570/C536399|C12.200.758.820.750.585/C536399|C12.200.777.419.473.585/C536399|C12.900.820.535.585/C536399|C12.950.419.473.585/C536399|C12.950.983.535.585/C536399|C16.300.570/C536399|C16.320.700.900/C536399|C19.246.099.968/C536399|C23.888.144.186.500/C536399,C04.557.435.595|C04.588.945.947.535.585|C04.700.900|C12.050.351.937.820.535.585|C12.050.351.968.419.473.585|C12.050.703.170.500|C12.050.703.277.570|C12.050.703.726.570|C12.200.758.820.750.585|C12.200.777.419.473.585|C12.900.820.535.585|C12.950.419.473.585|C12.950.983.535.585|C16.300.570|C16.320.700.900|C19.246.099.968|C23.888.144.186.500,"Nephroblastomatosis, Fetal Ascites, Macrosomia, And Wilms Tumor|Perlman Syndrome|PRLMNS|Renal hamartomas, nephroblastomatosis, and fetal gigantism",Cancer|Endocrine system disease|Fetal disease|Genetic disease (inborn)|Pregnancy complication|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)
Nephrocalcinosis,MESH:D009397,DO:DOID:12679,A condition characterized by calcification of the renal tissue itself. It is usually seen in distal RENAL TUBULAR ACIDOSIS with calcium deposition in the DISTAL KIDNEY TUBULES and the surrounding interstitium. Nephrocalcinosis causes RENAL INSUFFICIENCY.,MESH:D002114|MESH:D007674,C12.050.351.968.419.590|C12.200.777.419.590|C12.950.419.590|C18.452.174.130.560,C12.050.351.968.419|C12.200.777.419|C12.950.419|C18.452.174.130,Nephrocalcinoses,Metabolic disease|Urogenital disease (female)|Urogenital disease (male)
Nephrogenic Fibrosing Dermopathy,MESH:D054989,,"A chronic, acquired, idiopathic, progressive eruption of the skin that occurs in the context of RENAL FAILURE. It is sometimes accompanied by systemic fibrosis. The pathogenesis seems to be multifactorial, with postulated involvement of circulating fibrocytes. There is a strong association between this disorder and the use of gadolinium-based contrast agents.",MESH:D005355|MESH:D012871,C17.800.553|C23.550.355.550,C17.800|C23.550.355,"Dermopathies, Nephrogenic Fibrosing|Dermopathy, Nephrogenic Fibrosing|Fibroses, Nephrogenic Systemic|Fibrosing Dermopathies, Nephrogenic|Fibrosing Dermopathy, Nephrogenic|Fibrosis, Nephrogenic Systemic|Nephrogenic Fibrosing Dermopathies|Nephrogenic Systemic Fibroses|Nephrogenic Systemic Fibrosis|Systemic Fibroses, Nephrogenic|Systemic Fibrosis, Nephrogenic",Pathology (process)|Skin disease
Nephrogenic Syndrome of Inappropriate Antidiuresis,MESH:C564491,DO:DOID:0112121|OMIM:300539,,MESH:D007177|MESH:D040181,C10.228.140.617.738.320/C564491|C16.320.322/C564491|C18.452.950.626/C564491|C19.700.490/C564491,C10.228.140.617.738.320|C16.320.322|C18.452.950.626|C19.700.490,NSIAD,Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease
Nephrolithiasis,MESH:D053040,,Formation of stones in the KIDNEY.,MESH:D007674|MESH:D052878,C12.050.351.968.419.600|C12.050.351.968.967.249|C12.200.777.419.600|C12.200.777.967.249|C12.950.419.600|C12.950.967.249,C12.050.351.968.419|C12.050.351.968.967|C12.200.777.419|C12.200.777.967|C12.950.419|C12.950.967,,Urogenital disease (female)|Urogenital disease (male)
"Nephrolithiasis, Calcium Oxalate",MESH:C563477,OMIM:167030,,MESH:D053040,C12.050.351.968.419.600/C563477|C12.050.351.968.967.249/C563477|C12.200.777.419.600/C563477|C12.200.777.967.249/C563477|C12.950.419.600/C563477|C12.950.967.249/C563477,C12.050.351.968.419.600|C12.050.351.968.967.249|C12.200.777.419.600|C12.200.777.967.249|C12.950.419.600|C12.950.967.249,"CAON|KIDNEY STONES|Urolithiasis, Calcium Oxalate",Urogenital disease (female)|Urogenital disease (male)
